,BPL.BLD.ID,X2.1,X2.3,X2.4,X3.1,X3.2,X3.4,X3.6,X4.1,X4.2,X4.3,X4.5,X4.6,X4.7,X4.8,X5.4,X5.5,X6.1,X6.2,X7.1,X7.2,X7.3,X8.1,X8.2,X8.3,X8.4,X8.5
93,1237,0.666666667,0.5,0.5,0,0,0,0.75,0.8,1,1,1,0.6,0.6,0.6,NA,NA,0,1,1,1,0.75,0,0,NA,0.75,0.75
94,1238,0,0.5,NA,0.25,-0.5,-1,0.25,NA,NA,NA,NA,0.4,0.4,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
95,1240,0,0.75,0,0,0,0,0,-1,0,-1,0,0,-1,0,-0.75,-1,0,0,0,0,1,0,0,0,0,0
96,1241,NA,0,NA,NA,NA,-0.8,-0.25,NA,NA,NA,NA,0.6,0,0.4,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
97,1246,0,NA,NA,0.5,0.5,0,0.5,0.4,0,0,-0.4,-0.6,-0.6,-0.2,NA,NA,1,1,0,1,1,0,1,1,1,0
98,1247,0,-1,-1,0,0,0,0,-1,0,-1,-0.6,0,0,0,NA,NA,0,0,0,-1,-1,NA,NA,NA,NA,NA
99,1250,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1254,0,1,1,NA,NA,-0.4,-0.5,0,0.2,0,1,NA,NA,NA,NA,NA,0,0,NA,1,0,NA,NA,NA,NA,NA
101,1256,0,-0.25,0,0.25,0,0,0.5,0,-0.2,-0.4,0.2,0,-0.4,0.2,NA,NA,0,0,0,0,0,0,0,1,1,1
102,1259,-0.333333333,0,0.5,0,-0.5,0,0,0.6,NA,1,NA,0.2,1,0,NA,1,0,0,0,0.5,0,NA,NA,NA,NA,NA
103,1263,0,0,0,0,0,0,0,0,-1,0,-0.8,-1,0,-1,0,0,1,0,-1,0,-1,0.2,0,0,0,0
104,1265,-1,1,0,NA,0,0,-0.5,NA,NA,0,-0.8,-0.4,1,-0.8,NA,NA,1,0,0,0,0.25,0,0,0.5,NA,1
105,1266,0,0,0,-0.5,0,0,-0.25,0,0.2,1,0,-0.2,1,0.2,NA,NA,1,0,-0.2,1,0,0,0,0,1,0
106,1269,NA,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,NA,NA,NA
107,1271,NA,0,NA,0,-1,NA,0,NA,0,0,0,-0.2,0,-0.2,0,-1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
108,1276,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,1278,1,NA,NA,0,0,0,-0.5,0,0,1,-1,0,0,0,0,1,1,0,0,0,0,-1,1,0,NA,0
110,1279,0,0,1,0,1,0,-0.5,0,-0.2,0,-0.2,0,0,0,NA,NA,-0.5,-0.25,0,NA,NA,NA,NA,NA,NA,NA
