BPL.BLD.ID,1.2,2.1,2.3,2.4,2.5,3.1,3.2,3.4,3.5,3.6,4.1,4.2,4.3,4.5,4.6,4.7,4.8,5.1,5.3,5.4,5.5,5.6,6.1,6.2,7.1,7.2,7.3,8.1,8.2,8.3,8.4,8.5,Age,Experience
1077,Monthly,Daily,Seasonally,Seasonally,Seasonally,Not applicable,Not applicable,Not applicable,Daily,Daily,Not applicable,Daily,Daily,Seasonally,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Seasonally,Daily,Daily,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45-54,15-20Y
1078,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Not Applicable,Not Applicable,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,55+,20+Y
1080,Daily,Weekly,Monthly,Not Applicable,Annually,No understanding,Not Applicable,Daily,Daily,Seasonally,Daily,Daily,Daily,Seasonally,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Seasonally,Daily,Daily,Daily,Not Applicable,Seasonally,Seasonally,Not Applicable,Not Applicable,Not Applicable,No understanding,45-54,10-15Y
1082,Daily,Weekly,Weekly,Never,Weekly,Weekly,Weekly,Never,Never,Daily,Daily,Daily,Daily,Never,Weekly,Weekly,Weekly,Daily,Daily,Daily,Daily,Seasonally,Never,Never,Daily,Never,Never,Daily,Daily,Never,Daily,Not Applicable,25-34,10-15Y
1085,Monthly,Monthly,Daily,Daily,Daily,Weekly,Daily,Never,Daily,Daily,Annually,Daily,Never,Annually,Daily,Daily,Annually,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Daily,Daily,Never,Daily,Daily,Never,Never,Never,45-54,15-20Y
1086,Daily,Daily,Weekly,Weekly,Monthly,Never,Never,Never,Daily,Never,Seasonally,Daily,Daily,Daily,Weekly,Weekly,Monthly,Daily,Daily,Daily,Daily,Monthly,Daily,Daily,Daily,Daily,Weekly,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,35-40,10-15Y
1087,Daily,Monthly,Seasonally,Seasonally,Seasonally,Not Applicable,Not Applicable,Daily,Daily,Weekly,Not Applicable,Daily,Daily,Not Applicable,Daily,Daily,Monthly,Daily,Daily,Daily,Daily,Not Applicable,Daily,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,45-54,15-20Y
1089,Daily,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Weekly,Not Applicable,Not Applicable,Not Applicable,Weekly,Not Applicable,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Weekly,Not Applicable,Not Applicable,Daily,Not Applicable,Not Applicable,Not Applicable,Not Applicable,45-54,15-20Y
1091,Not Applicable,Never,Daily,Daily,Seasonally,Daily,Never,Never,Daily,Seasonally,Never,Never,Never,Never,Seasonally,Never,Never,Never,Never,Never,Never,Monthly,Never,Weekly,Daily,Daily,Daily,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,55+,10-15Y
1096,Weekly,Not Applicable,Seasonally,Seasonally,Seasonally,Daily,Never,Daily,Not Applicable,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Not Applicable,Daily,Daily,Not Applicable,Daily,Never,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,45-54,15-20Y
