BPL.BLD.ID,1.2,2.1,2.3,2.4,2.5,3.1,3.2,3.4,3.5,3.6,4.1,4.2,4.3,4.5,4.6,4.7,4.8,5.1,5.3,5.4,5.5,5.6,6.1,6.2,7.1,7.2,7.3,8.1,8.2,8.3,8.4,8.5,Age,Experience,LogCheck
1106,Monthly,Daily,Monthly,Monthly,Monthly,Not applicable,Not applicable,Not applicable,Not applicable,Seasonally,Not applicable,Monthly,Monthly,Monthly,Daily,Monthly,Not applicable,Daily,Monthly,Daily,Daily,Not applicable,Daily,Daily,Not applicable,Not applicable,Seasonally,Daily,Daily,Not applicable,Not applicable,Not applicable,55+,20+Y,
1108,Daily,Daily,Never,Never,Seasonally,Daily,Daily,Never,Daily,Daily,Daily,Daily,Never,Daily,Daily,Seasonally,Daily,Daily,Daily,Not applicable,Not applicable,Not applicable,Daily,Daily,Daily,Never,Daily,Daily,Never,Daily,Daily,Daily,44-54,5-10Y,Y
1110,Daily,Daily,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Daily,Daily,Never,Never,Never,Daily,Daily,Daily,Daily,Daily,Daily,Never,Never,Never,Never,25-34,5-10Y,
1111,Monthly,Not applicable,Daily,Daily,Monthly,Daily,Daily,Never,Never,Weekly,Never,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Not applicable,Daily,Not applicable,Weekly,Daily,Not applicable,Not applicable,Daily,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,44-54,20+Y,Y
1114,Daily,Daily,Monthly,Never,Monthly,Never,Never,Never,Daily,Seasonally,Never,Daily,Never,Never,Monthly,Monthly,Monthly,Daily,Daily,Daily,Never,Monthly,Daily,Daily,Weekly,Never,Seasonally,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,55+,20+Y,
1115,Daily,Monthly,Monthly,Monthly,Monthly,Daily,Daily,Never,Daily,Daily,Never,Daily,Monthly,Daily,Daily,Seasonally,Daily,Daily,Daily,Daily,Seasonally,Weekly,Daily,Daily,Daily,Daily,Never,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,44-54,20+Y,Y
1117,Not applicable,Not applicable,Daily,Never,Daily,Never,Never,Never,Daily,Seasonally,Never,Daily,Monthly,Never,Never,Monthly,Never,Not applicable,Not applicable,Monthly,Monthly,Never,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Daily,Never,Not applicable,Not applicable,Not applicable,,10-15Y,
1118,Daily,Weekly,NA,NA,NA,Weekly,Never,Never,Daily,Daily,Not applicable,Daily,Never,Daily,Weekly,Never,Never,Daily,Daily,Weekly,Never,Monthly,Daily,Daily,Weekly,Never,Monthly,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,44-54,20+Y,
1119,Daily,NA,Daily,Never,Annually,Never,Never,NA,Daily,Seasonally,Never,Monthly,Daily,Never,NA,Daily,Weekly,Daily,Daily,Not applicable,Not applicable,Not applicable,Never,Not applicable,Daily,Never,Never,Daily,Never,Never,Never,Never,55+,20+Y,
1120,Monthly,Daily,Monthly,Never,Monthly,Seasonally,Never,Daily,Daily,Seasonally,Never,Monthly,Daily,Daily,Daily,Daily,Monthly,Daily,Daily,Daily,Daily,Monthly,Never,Daily,Daily,Weekly,Never,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,55+,20+Y,
